title,movieid,year,movieurl,release_date,release_country,Trailer_Results,href,title,date,director,writer,cast,Trailers
A River Runs Through It,tt0105265,1992,http://www.imdb.com/title/tt0105265/,10/30/1992,USA,31,/a-river-runs-through-it,A River Runs Through It,10/9/1992,Robert Redford,"Norman Maclean, Richard Friedenberg","Craig Sheffer,  Brad Pitt,  Tom Skerritt",7
Dracula,tt0103874,1992,http://www.imdb.com/title/tt0103874/,11/13/1992,USA,12,/bram-stokers-dracula,Bram Stoker's Dracula,11/13/1992,Francis Ford Coppola,James V. Hart,"Gary Oldman,  Keanu Reeves,  Winona Ryder",2
Malcolm X,tt0104797,1992,http://www.imdb.com/title/tt0104797/,11/18/1992,USA,2,/malcolm-x,Malcolm X,11/18/1992,Spike Lee,"Alex Haley, Malcolm X,   Arnold Perl, Spike Lee","Denzel Washington,  Angela Bassett,  Albert Hall",1
Home Alone 2: Lost in New York,tt0104431,1992,http://www.imdb.com/title/tt0104431/,11/20/1992,USA,31,/home-alone-2,Home Alone 2: Lost in New York,11/20/1992,Chris Colombus,John Hughes,"Macaulay Culkin,  Joe Pesci,  Daniel Stern",1
Aladdin,tt0103639,1992,http://www.imdb.com/title/tt0103639/,11/25/1992,USA,5,/aladdin,Aladdin,11/25/1992,"Ron Clements, John Musker","Ron Clements, John Musker","Scott Weinger,  Robin Williams,  Linda Larkin",8
The Bodyguard,tt0103855,1992,http://www.imdb.com/title/tt0103855/,11/25/1992,USA,4,/the-bodyguard,The Bodyguard,11/25/1992,Mick Jackson,Lawrence Kasdan,"Kevin Costner,  Whitney Houston,  Gary Kemp",2
A Few Good Men,tt0104257,1992,http://www.imdb.com/title/tt0104257/,12/11/1992,USA,31,/few-good-men,A Few Good Men,12/9/1992,Rob Reiner,Aaron Sorkin,"Tom Cruise,  Demi Moore,  Jack Nicholson",2
Trespass,tt0105636,1992,http://www.imdb.com/title/tt0105636/,12/25/1992,USA,5,/trespass-1992,Trespass,12/25/1992,Walter Hill,"Bob Gale, Robert Zemeckis","Bill Paxton,  Ice-T,  William Sadler",1
Leprechaun,tt0107387,1993,http://www.imdb.com/title/tt0107387/,1/8/1993,USA,4,/leprechaun,Leprechaun,1/8/1993,Mark Jones,Mark Jones,"Warwick Davis,  Jennifer Aniston,  Ken Olandt",1
Lorenzo's Oil,tt0104756,1993,http://www.imdb.com/title/tt0104756/,1/29/1993,USA,13,/lorenzos-oil,Lorenzo's Oil,12/30/1992,George Miller,"George Miller, Nick Enright","Nick Nolte,  Susan Sarandon,  Peter Ustinov",1
Army of Darkness,tt0106308,1993,http://www.imdb.com/title/tt0106308/,2/19/1993,USA,31,/army-of-darkness,Army of Darkness,2/19/1993,Sam Raimi,"Sam Raimi, Ivan Raimi","Bruce Campbell,  Embeth Davidtz,  Marcus Gilbert",1
The Crying Game,tt0104036,1993,http://www.imdb.com/title/tt0104036/,2/19/1993,USA,31,/the-crying-game,The Crying Game,10/30/1992,Neil Jordan,Neil Jordan,"Stephen Rea,  Miranda Richardson,  Jaye Davidson",1
Falling Down,tt0106856,1993,http://www.imdb.com/title/tt0106856/,2/26/1993,USA,31,/falling-down,Falling Down,2/26/1993,Joel Schumacher,Ebbe Roe Smith,"Michael Douglas,  Robert Duvall,  Barbara Hershey",1
Howards End,tt0104454,1993,http://www.imdb.com/title/tt0104454/,2/26/1993,USA,31,/howards-end,Howards End,3/13/1992,James Ivory,"E.M. Forster, Ruth Prawer Jhabvala","Anthony Hopkins,  Vanessa Redgrave,  Helena Bonham Carter",2
CB4,tt0106500,1993,http://www.imdb.com/title/tt0106500/,3/12/1993,USA,1,/cb4,CB4,3/12/1993,Tamra Davis,"Chris Rock, Nelson George","Chris Rock,  Allen Payne,  Deezer D",1
Indecent Proposal,tt0107211,1993,http://www.imdb.com/title/tt0107211/,4/7/1993,USA,3,/indecent-proposal,Indecent Proposal,4/7/1993,Adrian Lyne,"Jack Engelhard, Amy Holden Jones","Robert Redford,  Demi Moore,  Woody Harrelson",1
The Sandlot,tt0108037,1993,http://www.imdb.com/title/tt0108037/,4/7/1993,USA,3,/the-sandlot,The Sandlot,4/7/1993,David Mickey Evans,"David Mickey Evans, Robert Gunter","Tom Guiry,  Mike Vitar,  Patrick Renna",1
Three of Hearts,tt0108334,1993,http://www.imdb.com/title/tt0108334/,4/30/1993,USA,31,/three-of-hearts,Three of Hearts,4/30/1993,Yurek Bogayevicz,Adam Greenman,"William Baldwin,  Kelly Lynch,  Sherilyn Fenn",1
Dragon: The Bruce Lee Story,tt0106770,1993,http://www.imdb.com/title/tt0106770/,5/7/1993,USA,31,/dragon-the-bruce-lee-story,Dragon: The Bruce Lee Story,5/7/1993,Rob Cohen,"Robert Clouse, Linda Lee Cadwell","Jason Scott Lee,  Lauren Holly,  Robert Wagner",1
Hot Shots! Part Deux,tt0107144,1993,http://www.imdb.com/title/tt0107144/,5/21/1993,USA,31,/hot-shots-part-deux,Hot Shots! Part Deux,5/21/1993,Jim Abrahams,"Jim Abrahams, Pat Proft","Charlie Sheen,  Lloyd Bridges,  Valeria Golino",1
Cliffhanger,tt0106582,1993,http://www.imdb.com/title/tt0106582/,5/28/1993,USA,1,/cliffhanger,Cliffhanger,5/28/1993,Renny Harlin,"John Long, Michael France, Sylvester Stallone","Sylvester Stallone,  John Lithgow,  Michael Rooker",2
Super Mario Bros.,tt0108255,1993,http://www.imdb.com/title/tt0108255/,5/28/1993,USA,20,/super-mario-bros,Super Mario Bros.,5/28/1993,"Dean Semler, Rocky Morton, Annabel Jankel","Parker Bennett, Terry Runte, Ed Solomon","John Leguizamo,  Dennis Hopper,  Bob Hoskins",2
Orlando,tt0107756,1993,http://www.imdb.com/title/tt0107756/,6/9/1993,USA,1,/orlando,Orlando,6/9/1993,Sally Potter,"Sally Potter, Virginia Woolf","Tilda Swinton,  Quentin Crisp,  Jimmy Somerville",1
Jurassic Park,tt0107290,1993,http://www.imdb.com/title/tt0107290/,6/11/1993,USA,31,/jurassic-park,Jurassic Park,6/11/1993,Steven Spielberg,"David Koepp, Malia Scotch Marmo, Michael Crichton","Sam Neill,  Laura Dern,  Jeff Goldblum",34
Last Action Hero,tt0107362,1993,http://www.imdb.com/title/tt0107362/,6/18/1993,USA,31,/last-action-hero,Last Action Hero,6/18/1993,John McTiernan,"Zak Penn, Adam Leff, Shane Black, David Arnott","Arnold Schwarzenegger,  F. Murray Abraham,  Charles Dance",1
The Firm,tt0106918,1993,http://www.imdb.com/title/tt0106918/,6/30/1993,USA,2,/firm,The Firm,6/30/1993,Sydney Pollack,"John Grisham, David Rabe, Robert Towne, David Rayfiel","Tom Cruise,  Jeanne Tripplehorn,  Gene Hackman",2
The Wedding Banquet,tt0107156,1993,http://www.imdb.com/title/tt0107156/,8/4/1993,USA,31,/the-wedding-banquet,The Wedding Banquet,8/4/1993,Ang Lee,Ang Lee,"Winston Chao,  Sihung Lung,  Mitchell Lichtenstein",1
The Fugitive,tt0106977,1993,http://www.imdb.com/title/tt0106977/,8/6/1993,USA,3,/fugitive,The Fugitive,8/6/1993,Andrew Davis,"Roy Huggins, David Twohy, Jeb Stuart","Harrison Ford,  Tommy Lee Jones,  Sela Ward",5
The Meteor Man,tt0107563,1993,http://www.imdb.com/title/tt0107563/,8/6/1993,USA,31,/the-meteor-man,The Meteor Man,8/6/1993,Robert Townsend,Robert Townsend,"Robert Townsend,  Marla Gibbs,  Eddie Griffin",1
Jason Goes to Hell: The Final Friday,tt0107254,1993,http://www.imdb.com/title/tt0107254/,8/13/1993,USA,31,/jason-goes-hell-final-friday,Jason Goes to Hell: The Final Friday,8/13/1993,Adam Marcus,"Adam Marcus, Jay Huguely","Kane Hodder,  John D. LeMay,  Kari Keegan",1
Kalifornia,tt0107302,1993,http://www.imdb.com/title/tt0107302/,9/3/1993,USA,1,/kalifornia,Kalifornia,9/3/1993,Dominic Sena,"Stephen Levy, Tim Metcalfe","Brad Pitt,  Juliette Lewis,  David Duchovny",1
True Romance,tt0108399,1993,http://www.imdb.com/title/tt0108399/,9/10/1993,USA,31,/true-romance,True Romance,9/10/1993,Tony Scott,Quentin Tarantino,"Christian Slater,  Patricia Arquette,  Dennis Hopper",1
Airborne,tt0106233,1993,http://www.imdb.com/title/tt0106233/,9/17/1993,USA,3,/airborne-1993,Airborne,9/17/1993,Rob Bowman,"Bill Apablasa, Stephen McEveety","Shane McDermott,  Seth Green,  Brittney Powell",1
The Age of Innocence,tt0106226,1993,http://www.imdb.com/title/tt0106226/,10/1/1993,USA,31,/the-age-of-innocence,The Age of Innocence,10/1/1993,Martin Scorsese,"Jay Cocks, Martin Scorsese, Edith Wharton (book)","Daniel Day-Lewis,  Michelle Pfeiffer,  Winona Ryder",2
Gettysburg,tt0107007,1993,http://www.imdb.com/title/tt0107007/,10/8/1993,USA,1,/gettysburg,Gettysburg,10/8/1993,Ronald F. Maxwell,Ronald F. Maxwell,"Martin Sheen,  Tom Berenger,  Jeff Daniels",3
The Nightmare Before Christmas,tt0107688,1993,http://www.imdb.com/title/tt0107688/,10/29/1993,USA,31,/the-nightmare-before-christmas,The Nightmare Before Christmas,20-Oct-06,Henry Selick,"Tim Burton, Caroline Thompson), Michael McDowell, Danny Elfman","Danny Elfman,  Chris Sarandon,  Catherine O'Hara",10
Carlito's Way,tt0106519,1993,http://www.imdb.com/title/tt0106519/,11/12/1993,USA,30,/carlitos-way,Carlito's Way,11/10/1993,Brian de Palma,"Edwin Torres, David Koepp","Al Pacino,  Sean Penn,  Penelope Ann Miller",1
The Three Musketeers,tt0108333,1993,http://www.imdb.com/title/tt0108333/,11/12/1993,USA,32,/the-three-musketeers-1993,The Three Musketeers,11/12/1993,Stephen Herek,David Loughery,"Charlie Sheen,  Kiefer Sutherland,  Chris O'Donnell",1
Addams Family Values,tt0106220,1993,http://www.imdb.com/title/tt0106220/,11/19/1993,USA,31,/addams-family-values,Addams Family Values,11/19/1993,Barry Sonnenfeld,"Charles Addams, Paul Rudnick","Anjelica Huston,  Raúl Juliá,  Christopher Lloyd",2
Mrs. Doubtfire,tt0107614,1993,http://www.imdb.com/title/tt0107614/,11/24/1993,USA,14,/mrs-doubtfire,Mrs. Doubtfire,11/24/1993,Chris Columbus,"Anne Fine, Randi Mayem Singer, Leslie Dixon","Robin Williams,  Sally Field,  Pierce Brosnan",1
Wayne's World 2,tt0108525,1993,http://www.imdb.com/title/tt0108525/,12/10/1993,USA,30,/waynes-world-2,Wayne's World 2,12/10/1993,Stephen Surjik,"Mike Myers, Bonnie Turner, Terry Turner","Mike Myers,  Dana Carvey,  Christopher Walken",1
The Pelican Brief,tt0107798,1993,http://www.imdb.com/title/tt0107798/,12/17/1993,USA,13,/pelican-brief,The Pelican Brief,12/17/1993,Alan J. Pakula,"Alan J. Pakula, John Grisham","Denzel Washington,  Julia Roberts",1
Tombstone,tt0108358,1993,http://www.imdb.com/title/tt0108358/,12/25/1993,USA,3,/tombstone,Tombstone,12/25/1993,George P. Cosmatos,Kevin Jarre,"Kurt Russell,  Val Kilmer,  Sam Elliott",1
The Air Up There,tt0109067,1994,http://www.imdb.com/title/tt0109067/,1/7/1994,USA,31,/the-air-up-there,The Air Up There,1/7/1994,Paul Michael Glaser,Max Apple,"Kevin Bacon,  Charles Gitonga Maina",1
Ace Ventura: Pet Detective,tt0109040,1994,http://www.imdb.com/title/tt0109040/,2/4/1994,USA,22,/ace-ventura-pet-detective,Ace Ventura- Pet Detective,2/4/1994,Tom Shadyac,"Jack Bernstein, Tom Shadyac, Jim Carrey","Jim Carrey,  Courteney Cox,  Sean Young",1
Schindler's List,tt0108052,1994,http://www.imdb.com/title/tt0108052/,2/4/1994,USA,30,/schindlers-list,Schindler's List,12/15/1993,Steven Spielberg,"Thomas Keneally, Steven Zaillian","Liam Neeson,  Ben Kingsley,  Ralph Fiennes",13
The Piano,tt0107822,1994,http://www.imdb.com/title/tt0107822/,2/11/1994,USA,6,/the-piano,The Piano,11/12/1993,Jane Campion,Jane Campion,"Holly Hunter,  Harvey Keitel,  Anna Paquin",2
Reality Bites,tt0110950,1994,http://www.imdb.com/title/tt0110950/,2/18/1994,USA,12,/reality-bites,Reality Bites,2/18/1994,Ben Stiller,Helen Childress,"Winona Ryder,  Ethan Hawke,  Ben Stiller",1
Bitter Moon,tt0104779,1994,http://www.imdb.com/title/tt0104779/,3/18/1994,USA,31,/bitter-moon,Bitter Moon,3/11/1994,Roman Polanski,Roman Polanski,"Hugh Grant,  Emmanuelle Seigner,  Kristin Scott Thomas",2
The Paper,tt0110771,1994,http://www.imdb.com/title/tt0110771/,3/25/1994,USA,22,/the-paper,The Paper,3/18/1994,Ron Howard,"David Koepp, Stephen Koepp","Michael Keaton,  Glenn Close,  Marisa Tomei",1
Leprechaun 2,tt0110329,1994,http://www.imdb.com/title/tt0110329/,4/8/1994,USA,4,/leprechaun-2,Leprechaun 2,4/8/1994,Rodman Flender,"Turi Meyer, Al Septien, Mark Jones","Warwick Davis,  Charlie Heath,  Shevonne Durkin",1
Crooklyn,tt0109504,1994,http://www.imdb.com/title/tt0109504/,5/13/1994,USA,1,/crooklyn,Crooklyn,5/13/1994,Spike Lee,"Cinqué Lee, Joie Lee","Alfre Woodard,  Delroy Lindo,  David Patrick Kelly",1
The Crow,tt0109506,1994,http://www.imdb.com/title/tt0109506/,5/13/1994,USA,3,/the-crow,The Crow,5/11/1994,Alex Proyas,"James O'Barr, David J. Schow","Brandon Lee,  Rochelle Davis,  Ernie Hudson",2
Beverly Hills Cop III,tt0109254,1994,http://www.imdb.com/title/tt0109254/,5/25/1994,USA,31,/beverly-hills-cop-iii,Beverly Hills Cop III,5/25/1994,John Landis,"Steven E. de Souza, Danilo Bach, Daniel Petrie, Jr.","Eddie Murphy,  Jon Tenney,  Joey Travolta",1
Speed,tt0111257,1994,http://www.imdb.com/title/tt0111257/,6/10/1994,USA,12,/speed,Speed,6/10/1994,Jan de Bont,"Graham Yost, Joss Whedon","Keanu Reeves,  Sandra Bullock,  Dennis Hopper",1
Wolf,tt0111742,1994,http://www.imdb.com/title/tt0111742/,6/17/1994,USA,31,/wolf-1994,Wolf,6/17/1994,Mike Nichols,"Jim Harrison, Wesley Strick","Jack Nicholson,  Michelle Pfeiffer,  James Spader",1
The Lion King,tt0110357,1994,http://www.imdb.com/title/tt0110357/,6/24/1994,USA,32,/lion-king,The Lion King,6/15/1994,"Roger Allers, Rob Minkoff","Irene Mecchi, Jonathan Roberts, Linda Woolverton","Matthew Broderick,  Jeremy Irons,  James Earl Jones",54
Wyatt Earp,tt0111756,1994,http://www.imdb.com/title/tt0111756/,6/24/1994,USA,1,/wyatt-earp,Wyatt Earp,6/24/1994,Lawrence Kasdan,"Lawrence Kasdan, Dan Gordon","Kevin Costner,  Dennis Quaid,  Gene Hackman",1
Forrest Gump,tt0109830,1994,http://www.imdb.com/title/tt0109830/,7/6/1994,USA,1,/forrest-gump,Forrest Gump,7/6/1994,Robert Zemeckis,"Winston Groom, Eric Roth","Tom Hanks,  Robin Wright,  Gary Sinise",11
True Lies,tt0111503,1994,http://www.imdb.com/title/tt0111503/,7/15/1994,USA,31,/true-lies,True Lies,7/15/1994,James Cameron,"Claude Zidi, Simon Michael, Didier Kaminka, James Cameron","Arnold Schwarzenegger,  Jamie Lee Curtis,  Tom Arnold",1
The Mask,tt0110475,1994,http://www.imdb.com/title/tt0110475/,7/29/1994,USA,12,/mask,The Mask,7/29/1994,Chuck Russell,"Michael Fallon, Mark Verheiden, Mike Werb","Jim Carrey,  Cameron Diaz,  Peter Greene",1
Clear and Present Danger,tt0109444,1994,http://www.imdb.com/title/tt0109444/,8/3/1994,USA,31,/clear-present-danger,Clear and Present Danger,8/3/1994,Phillip Noyce,"Tom Clancy, Donald Stewart, Steven Zaillian, John Milius","Harrison Ford,  Willem Dafoe,  Anne Archer",1
Blankman,tt0109288,1994,http://www.imdb.com/title/tt0109288/,8/19/1994,USA,1,/blankman,Blankman,8/19/1994,Mike Binder,Mike Binder,"Damon Wayans,  David Alan Grier,  Robin Givens",1
Natural Born Killers,tt0110632,1994,http://www.imdb.com/title/tt0110632/,8/26/1994,USA,31,/natural-born-killers,Natural Born Killers,8/26/1994,Oliver Stone,"Oliver Stone, Dave Veloz, Richard Rutowski, Quentin Tarantino","Woody Harrelson,  Juliette Lewis,  Robert Downey",2
Wagons East,tt0111653,1994,http://www.imdb.com/title/tt0111653/,8/26/1994,USA,12,/wagons-east,Wagons East,8/26/1994,Peter Markle,"Matthew Carlson, Jerry Abrahamson","John Candy,  Richard Lewis,  John C. McGinley",1
Fresh,tt0109842,1994,http://www.imdb.com/title/tt0109842/,9/2/1994,USA,7,/fresh-1994,Fresh,8/24/1994,Boaz Yakin,Boaz Yakin,"Sean Nelson,  Giancarlo Esposito,  Samuel L. Jackson",1
A Good Man in Africa,tt0109920,1994,http://www.imdb.com/title/tt0109920/,9/9/1994,USA,31,/a-good-man-in-africa,A Good Man in Africa,9/9/1994,Bruce Beresford,William Boyd,"Colin Friels,  Joanne Whalley-Kilmer,  Sean Connery",1
The River Wild,tt0110997,1994,http://www.imdb.com/title/tt0110997/,9/30/1994,USA,31,/the-river-wild,The River Wild,9/30/1994,Curtis Hanson,Denis O'Neill,"Meryl Streep,  Kevin Bacon,  David Strathairn",1
Ed Wood,tt0109707,1994,http://www.imdb.com/title/tt0109707/,10/7/1994,USA,12,/ed-wood,Ed Wood,9/28/1994,Tim Burton,"Rudolph Grey, Scott Alexander, Larry Karaszewski","Johnny Depp,  Martin Landau,  Sarah Jessica Parker",1
Quiz Show,tt0110932,1994,http://www.imdb.com/title/tt0110932/,10/7/1994,USA,26,/quiz-show,Quiz Show,9/14/1994,Robert Redford,"Paul Attanasio, Richard N. Goodwin","John Turturro,  Rob Morrow,  Ralph Fiennes",1
Pulp Fiction,tt0110912,1994,http://www.imdb.com/title/tt0110912/,10/14/1994,USA,6,/pulp-fiction,Pulp Fiction,10/14/1994,Quentin Tarantino,"Quentin Tarantino, Roger Avary","John Travolta,  Samuel L. Jackson,  Uma Thurman",9
The Shawshank Redemption,tt0111161,1994,http://www.imdb.com/title/tt0111161/,10/14/1994,USA,19,/the-shawshank-redemption,The Shawshank Redemption,9/10/1994,Frank Darabont,"Frank Darabont, Stephen King","Tim Robbins,  Morgan Freeman,  Bob Gunton",2
New Nightmare,tt0111686,1994,http://www.imdb.com/title/tt0111686/,10/14/1994,USA,30,/wes-craven-new-nightmare,Wes Craven's New Nightmare,10/14/1994,Wes Craven,Wes Craven,"Heather Langenkamp,  Robert Englund,  Miko Hughes",1
Stargate,tt0111282,1994,http://www.imdb.com/title/tt0111282/,10/28/1994,USA,2,/stargate,Stargate,10/28/1994,Roland Emmerich,"Roland Emmerich, Dean Devlin","Kurt Russell,  James Spader",1
Double Dragon,tt0106761,1994,http://www.imdb.com/title/tt0106761/,11/4/1994,USA,31,/double-dragon,Double Dragon,11/4/1994,James Yukich,"Paul Dini, Neal Shusterman","Mark Dacascos,  Scott Wolf,  Robert Patrick",1
The War,tt0111667,1994,http://www.imdb.com/title/tt0111667/,11/4/1994,USA,31,/the-war,The War,11/4/1994,Jon Avnet,Kathy McWorter,"Elijah Wood,  Kevin Costner,  Mare Winningham",1
Interview with the Vampire: The Vampire Chronicles,tt0110148,1994,http://www.imdb.com/title/tt0110148/,11/11/1994,USA,31,/interview-with-vampire,Interview with the Vampire: The Vampire Chronicles,11/11/1994,Neil Jordan,Anne Rice,"Tom Cruise,  Brad Pitt,  Christian Slater",1
The Santa Clause,tt0111070,1994,http://www.imdb.com/title/tt0111070/,11/11/1994,USA,18,/the-santa-clause,The Santa Clause,11/11/1994,John Pasquin,"Leo Benvenuti, Steve Rudnick","Tim Allen,  Peter Boyle,  Judge Reinhold",3
Star Trek: Generations,tt0111280,1994,http://www.imdb.com/title/tt0111280/,11/18/1994,USA,31,/star-trek-generations,Star Trek: Generations,11/18/1994,David Carson,"Rick Berman, Ronald D. Moore, Brannon Braga, Gene Roddenberry","Patrick Stewart,  Jonathan Frakes,  Brent Spiner",1
L�on: The Professional,tt0110413,1994,http://www.imdb.com/title/tt0110413/,11/18/1994,USA,4,/the-professional,The Professional,11/18/1994,Luc Besson,Luc Besson,"Jean Reno,  Natalie Portman,  Gary Oldman",3
Dumb & Dumber,tt0109686,1994,http://www.imdb.com/title/tt0109686/,12/16/1994,USA,5,/dumb-dumber,Dumb & Dumber,12/16/1994,"Peter Farrelly, Bobby Farrelly","Peter Farrelly, Bobby Farrelly, Bennett Yellin","Jim Carrey,  Jeff Daniels,  Lauren Holly",2
Street Fighter,tt0111301,1994,http://www.imdb.com/title/tt0111301/,12/23/1994,USA,31,/street-fighter,Street Fighter,12/23/1994,Steven E. de Souza,Steven E. de Souza,"Jean-Claude Van Damme,  Raul Julia,  Ming-Na Wen",1
Ready to Wear,tt0110907,1994,http://www.imdb.com/title/tt0110907/,12/25/1994,USA,31,/ready-to-wear,Ready to Wear,12/23/1994,Robert Altman,"Robert Altman, Barbara Shulgasser","Marcello Mastroianni,  Sophia Loren,  Anouk Aimée",1
The Madness of King George,tt0110428,1994,http://www.imdb.com/title/tt0110428/,12/28/1994,USA,31,/the-madness-of-king-george,The Madness of King George,12/28/1994,Nicholas Hytner,Alan Bennett,"Nigel Hawthorne,  Helen Mirren,  Ian Holm",1
Legends of the Fall,tt0110322,1995,http://www.imdb.com/title/tt0110322/,1/13/1995,USA,31,/legends-of-fall,Legends of the Fall,12/16/1994,Edward Zwick,"Jim Harrison, Susan Shilliday, William D. Wittliff","Brad Pitt,  Anthony Hopkins,  Aidan Quinn",2
Shallow Grave,tt0111149,1995,http://www.imdb.com/title/tt0111149/,2/10/1995,USA,16,/shallow-grave,Shallow Grave,1/6/1995,Danny Boyle,John Hodge,"Kerry Fox,  Christopher Eccleston,  Ewan McGregor",1
Losing Isaiah,tt0113691,1995,http://www.imdb.com/title/tt0113691/,3/17/1995,USA,5,/losing-isaiah,Losing Isaiah,3/17/1995,Stephen Gyllenhaal,"Seth Margolis, Naomi Foner","Jessica Lange,  Halle Berry",1
Tommy Boy,tt0114694,1995,http://www.imdb.com/title/tt0114694/,3/31/1995,USA,31,/tommy-boy,Tommy Boy,3/31/1995,Peter Segal,"Bonnie Turner, Terry Turner, Fred Wolf","Chris Farley,  David Spade,  Bo Derek",20
Bad Boys,tt0112442,1995,http://www.imdb.com/title/tt0112442/,4/7/1995,USA,32,/bad-boys,Bad Boys,4/7/1995,Michael Bay,"Michael Barrie, Jim Mulholland, Doug Richardson","Martin Lawrence,  Will Smith,  Tea Leoni",2
Don Juan DeMarco,tt0112883,1995,http://www.imdb.com/title/tt0112883/,4/7/1995,USA,31,/don-juan-demarco,Don Juan DeMarco,4/7/1995,Jeremy Leven,"Jeremy Leven, Lord Byron","Marlon Brando,  Johnny Depp,  Faye Dunaway",1
The Basketball Diaries,tt0112461,1995,http://www.imdb.com/title/tt0112461/,4/21/1995,USA,16,/the-basketball-diaries,The Basketball Diaries,4/21/1995,Scott Kalvert,"Jim Carroll, Bryan Goluboff","Leonardo DiCaprio,  Lorraine Bracco,  James Madio",1
Village of the Damned,tt0114852,1995,http://www.imdb.com/title/tt0114852/,4/28/1995,USA,31,/village-of-the-damned,Village of the Damned,4/28/1995,John Carpenter,"David Himmelstein, John Wyndham","Christopher Reeve,  Kirstie Alley,  Linda Kozlowski",1
Crimson Tide,tt0112740,1995,http://www.imdb.com/title/tt0112740/,5/12/1995,USA,12,/crimson-tide,Crimson Tide,5/12/1995,Tony Scott,"Michael Schiffer, Richard P. Henrick","Denzel Washington,  Gene Hackman,  George Dzundza",1
Die Hard: With a Vengeance,tt0112864,1995,http://www.imdb.com/title/tt0112864/,5/19/1995,USA,30,/die-hard-vengeance,Die Hard with a Vengeance,5/19/1995,John McTiernan,"Roderick Thorp, Jonathan Hensleigh","Bruce Willis,  Jeremy Irons,  Samuel L. Jackson",1
Braveheart,tt0112573,1995,http://www.imdb.com/title/tt0112573/,5/24/1995,USA,1,/braveheart,Braveheart,5/24/1995,Mel Gibson,Randall Wallace,"Mel Gibson,  Sophie Marceau,  Catherine McCormack",3
Congo,tt0112715,1995,http://www.imdb.com/title/tt0112715/,6/9/1995,USA,5,/congo,Congo,6/9/1995,Frank Marshall,"Michael Crichton, John Patrick Shanley","Laura Linney,  Dylan Walsh,  Ernie Hudson",1
Batman Forever,tt0112462,1995,http://www.imdb.com/title/tt0112462/,6/16/1995,USA,31,/batman-forever,Batman Forever,6/16/1995,Joel Schumacher,"Lee Batchler, Janet Scott-Batchler, Akiva Goldsman","Val Kilmer,  Tommy Lee Jones,  Jim Carrey",1
Apollo 13,tt0112384,1995,http://www.imdb.com/title/tt0112384/,6/30/1995,USA,31,/apollo-13,Apollo 13,6/30/1995,Ron Howard,"Jim Lovell, Jeffrey Kluger, Screenplay: William Broyles Jr., Al Reinert","Tom Hanks,  Bill Paxton,  Kevin Bacon",1
Judge Dredd,tt0113492,1995,http://www.imdb.com/title/tt0113492/,6/30/1995,USA,5,/judge-dredd,Judge Dredd,6/30/1995,Danny Cannon,"Michael De Luca, William Wisher, Jr.","Sylvester Stallone,  Diane Lane,  Armand Assante",1
Clueless,tt0112697,1995,http://www.imdb.com/title/tt0112697/,7/19/1995,USA,1,/clueless,Clueless,7/19/1995,Amy Heckerling,Amy Heckerling,"Alicia Silverstone,  Stacey Dash,  Brittany Murphy",1
Babe,tt0112431,1995,http://www.imdb.com/title/tt0112431/,8/4/1995,USA,4,/babe,Babe,8/4/1995,Chris Noonan,"Dick King-Smith, George Miller, Chris Noonan","James Cromwell,  Magda Szubanski,  Christine Cavanaugh (voice)",1
Mortal Kombat,tt0113855,1995,http://www.imdb.com/title/tt0113855/,8/18/1995,USA,5,/mortal-kombat,Mortal Kombat,8/18/1995,Paul W. S. Anderson,"Ed Boon, John Tobias, Kevin Drone","Christopher Lambert,  Robin Shou,  Linden Ashby",2
The Baby-Sitters Club,tt0112435,1995,http://www.imdb.com/title/tt0112435/,8/18/1995,USA,30,/the-baby-sitters-club,The Baby-Sitters Club,8/18/1995,Melanie Mayron,"Ann M. Martin (book), Dalene Young","Schuyler Fisk,  Bre Blair,  Tricia Joe",1
Desperado,tt0112851,1995,http://www.imdb.com/title/tt0112851/,8/25/1995,USA,1,/desperado,Desperado,8/25/1995,Robert Rodriguez,Robert Rodriguez,"Antonio Banderas,  Joaquim De Almeida,  Salma Hayek",4
The Usual Suspects,tt0114814,1995,http://www.imdb.com/title/tt0114814/,9/15/1995,USA,2,/the-usual-suspects,The Usual Suspects,8/16/1995,Bryan Singer,Christopher McQuarrie,"Gabriel Byrne,  Chazz Palminteri,  Kevin Spacey",1
